season,final_week,sample_id,Alyson Hannigan,Xochitl Gomez,Jason Mraz,Charity Lawson,Ariana Madix
32,11,0,0.11209913722252549,0.34016547957918397,0.30948775147480184,0.117288282088232,0.12095934963525677
32,11,1,0.001742949603686276,0.4804226841790427,0.26209610417966256,0.017345877169231305,0.2383923848683773
32,11,2,0.05031713579779567,0.3513212636909402,0.28137989425476356,0.05172410066867736,0.2652576055878232
32,11,3,0.06009533037322297,0.5900960678304418,0.16908729341095702,0.056126510751156294,0.12459479763422189
32,11,4,0.01021801416221838,0.41232710668174205,0.2638094330972196,0.049750585396017136,0.2638948606628028
32,11,5,0.03748920350272492,0.3591333123485757,0.34377123297485546,0.06235118821034492,0.19725506296349904
32,11,6,0.10172973791394196,0.30361173577238676,0.23848238919902778,0.14310800028598966,0.2130681368286536
32,11,7,0.030506585189031828,0.5826519496436489,0.1705363675721514,0.0845727400202672,0.1317323575749007
32,11,8,0.004596304040161938,0.5542886966786991,0.21765070855721164,0.10468990251679525,0.1187743882071319
32,11,9,0.02201246261148367,0.3775489621650499,0.29546023652346004,0.020055694041023246,0.28492264465898326
32,11,10,0.0035357228800304103,0.48344902888963726,0.21323680728692326,0.0996769054311085,0.2001015355123007
32,11,11,0.02056938177085942,0.6824681240820071,0.12459873879039242,0.07781221899447202,0.09455153636226907
32,11,12,0.13375507125740252,0.40302315506772046,0.18427940847776864,0.13335032484355902,0.1455920403535494
32,11,13,0.05841573683908485,0.2983324422130103,0.2964123894079244,0.06944079589451854,0.2773986356454618
32,11,14,0.06873018852002573,0.3224009511452557,0.25280017679599287,0.1690838762691096,0.18698480726961608
32,11,15,0.01005819231671456,0.49100368308650194,0.24547394458817706,0.11383063367465349,0.13963354633395295
32,11,16,0.014072949800569815,0.3642124586443176,0.31311545735120605,0.06130044827977966,0.2472986859241269
32,11,17,0.01326272120318148,0.3888752688211924,0.24245927489767696,0.12808618351049114,0.2273165515674581
32,11,18,0.00763538695269528,0.37760763798694946,0.311841975930638,0.08737658273694725,0.21553841639276994
32,11,19,0.07372580409081694,0.4312203322246356,0.3628456293939759,0.05810779402128166,0.07410044026928977
32,11,20,0.03994943840850036,0.5579649605147143,0.16401948628793422,0.1011416279088463,0.13692448688000458
32,11,21,0.11872357346171146,0.2723750159385078,0.25643573917971224,0.09996569264031369,0.2524999787797548
32,11,22,0.08100727034780235,0.5228711654102084,0.16714460687158653,0.0855032632808151,0.14347369408958774
32,11,23,0.040008116171011354,0.4255058686903533,0.31578142910101825,0.10503742434203531,0.11366716169558172
